from_addr,knn_id,cluster_size
EQDR19kr35SYVbhu1E9sTwOdWPRk5vWWNNHI1apfXAtHAODc,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCGb21vsbWqmDJbnV8yWoUg54oF_x-OskQiq1lTL4sLRoES,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDnUSpR-pAirCsQOcQwBQ29X9K1OYoXb9cRLH3M-awJxI2j,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCOGrXQUuccIVTucQMkIHHxDhfj8028aCjqz4fdddh9zebY,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCZJMRk0_9Pa_Pe2lb3qvLpZEl6HZsYBKChEb6CXXjLsIjD,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCvryxHEXYnZ0gQsxMPT1F4Itret3E3uI5oI7eB7jsoP0zM,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCcchuL7IgDEdjjNkA1m0uP7Tsp4bgEdEZ5gg_bgfS9z0Ae,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD_j87_zy_l70TOTOvgPw2qJJ8OOu1f-knc1i5MMUYJD9dC,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCuG-d7a9C8PJpkfNL-6AaWF354_uiaZaaA4vM_9kNp6j-K,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDPOsAJ7zZdpxmQTsyEwC20lQ8vsyRuzQ7N820e9cf3WSCm,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD-MfE0CGJLgQsLv3E1R_Qmos5o56FltQb-gyD32rRwcI8i,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCKYd7FBKfYpBmmfLhiusiCz02gvzwaPBPrJSJj0VFVn9sT,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCoKr_1EcqBcSgopCGgQpdpZvgAyFyv-gr_sQ61kFlxyXL-,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDTPiniBKnGEZXoiidtYoluNfIzzTQ7I9nk_uQlWKbtSpzB,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCzeq5j1PLkyBxrgQgCwRpc2b4A4g8zzEXg8DkKie04jSxh,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDKRtg_aGFq5jQTgwGzzDM7WFXBHF4n20fp2gq2M73N56DF,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCe2-1-G7SUfLtvngK8e6IBVEkZDL8MhOllThJ-og-Ks9Yg,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDv1MFnK-EdH-dwC67H7ynuc87O52xoQEO0LmCSfPbuJ1tU,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCtHlYDSEJk98qQFPBntv-k8th74Rd3AqhG-aXeepp_sKBS,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD5EEqAQuJ-4fEr-LkpVx1xV6TymbzkqXvBEZj-oA_YTnPU,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQBu9iX1Khdb_K7f46x-F7oo3BgJv_-OXOE05b4umf-YDnCz,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCf0gCA9ZSMHUP0wukBCy2zvnt55YuMiOQRObY_WwhicLsX,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCLRYYI1DjviQGc5P6UICOrNsKDOe6KtTzuECWQ2yJwFYIY,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDAXm76D6d1L7ZY8V68x5kXGdUe4LZALoODp6AVk2ofGXQd,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
